english_label,french_label,latin_label,q_identifier,trismegistos_label,trismegistos_id,english_aliases,french_aliases,latin_aliases,writing_languages
Alcman,Alcman,Alcman,Q298850,Alkman,42,[],[],"[""Alcman Lyricus"", ""Alcman Lacedaemonius""]","[""Ancient Greek""]"
Bacchylides,Bacchylide,Bacchylides,Q310681,Bakchylides,146,[],"[""Bacchylide de C\u00e9os""]","[""Bacchylides Lyricus"", ""Bacchylides Ceus""]","[""Ancient Greek""]"
Iamblichus,Jamblique,Iamblichus,Q310916,Iamblichos of Chalkis,2596,"[""Iamblichus of Chalcis""]","[""Iamblichus"", ""Jamblique de Chalcis"", ""Jamblique de Tyr""]","[""Abammon Syrus"", ""Iamblichus Philosophus"", ""Iamblichus Chalcidensis""]","[""Ancient Greek""]"
Nonnus of Panopolis,Nonnos de Panopolis,Nonnus,Q312916,Nonnos of Panopolis,604,"[""Nonnus""]",[],"[""Nonnus Panopolitanus"", ""Nonnus Epicus""]","[""Ancient Greek""]"
Heliodorus of Emesa,Héliodore d’Émèse,Heliodorus Emesenus,Q313011,Heliodoros of Emesa,1274,"[""Heliodorus""]","[""Heliodore d'Emese"", ""H\u00e9liodore""]","[""Heliodorus Scriptor eroticus"", ""Heliodorus""]","[""Ancient Greek""]"
Anaxagoras,Anaxagore de Clazomènes,Anaxagoras,Q83041,Anaxagoras,1538,"[""Anaxagoras of Clazomenae""]","[""Anaxagore de Clazomenes"", ""Anaxagoras"", ""Anaxagore de Clazom\u00e8ne""]","[""Anaxagoras Clazomenius""]","[""Ancient Greek""]"
Empedocles,Empédocle,Empedocles,Q83375,Empedokles,267,[],"[""Emp\u00e9docle d'Agrigente"", ""Emp\u00e9docle d\u2019Agrigente"", ""Empedocle d'Agrigente""]","[""Empedocles Philosophus""]","[""Ancient Greek""]"
Arius,Arius,Arius,Q106026,Areios,104,"[""Arius of Alexandria""]","[""Arius d'Alexandrie""]","[""Arius Alexandrinus"", ""Arius Haeresiarcha""]","[""Ancient Greek""]"
Parmenides,Parménide,Parmenides,Q125551,Parmenides,3340,"[""Parmenides of Elea""]","[""Parmenide"", ""Parm\u00e9nide d'\u00c9l\u00e9e"", ""Parmenides""]","[""Parmenides Philosophus"", ""Parmenides Poeta"", ""Parmenides Eleaticus""]","[""Ancient Greek""]"
Xenophanes,Xénophane,Xenophanes,Q131671,Xenophanes of Kolophon,4776,"[""Xenophanes of Colophon""]","[""X\u00e9nophane de Colophon"", ""Xenophane de Colophon""]","[""Xenophanes Philosophus"", ""Xenophanes Poeta"", ""Xenophanes Colophonius""]","[""Ancient Greek""]"
Solon,Solon,Solon,Q133337,Solon,864,"[""Solon of Athens""]","[""Solon d'Ath\u00e8nes""]","[""Solon Nomographus"", ""Solon Atheniensis"", ""Solon Philosophus"", ""Solon Poeta""]","[""Ancient Greek""]"
Protagoras,Protagoras,Protagoras,Q169243,Protagoras Abderita,8079,"[""Protagoras of Abdera""]","[""Protagoras d\u2019Abd\u00e8re"", ""Protagoras d'Abd\u00e8re""]","[""Protagoras Sophista"", ""Protagoras Abderita""]","[""Ancient Greek""]"
Posidonius,Posidonios,Posidonius Apameus,Q185770,Poseidonios of Apameia,710,"[""Poseidonios"", ""Posidonius of Apamea""]","[""Posidonios de Rhodes"", ""Poseidonios d'Apam\u00e9e"", ""Poseidonios"", ""Posidonius d'Apam\u00e9e"", ""Poseid\u00f4nios"", ""Posidonios d'Apam\u00e9e"", ""Posidonius"", ""Posidonius de Rhodes""]","[""Posidonius Philosophus"", ""Posidonius"", ""Posidonius Rhodius""]","[""Ancient Greek""]"
Tatian,Tatien le Syrien,Tatianus,Q272087,Tatianos,900,"[""Tatianus"", ""Tatian the Syrian""]","[""Tatien""]","[""Tatianus Syrus"", ""Tatianus Assyrius""]","[""Syriac""]"
Alexandros of Aphrodisias,Alexandre d’Aphrodise,Alexander Aphrodisiensis,Q317146,Alexandros of Aphrodisias,1461,"[""Alexander of Aphrodisias""]","[""Alexandre d'Aphrodisias"", ""Alexandre d'Aphrodisie""]",[],"[""Ancient Greek""]"
John Philoponus,Jean Philopon,Iohannes Philoponus,Q317632,Ioannes Philoponos,426,"[""Johannes Philoponus"", ""Philoponus""]","[""Johannes Philoponus"", ""Jean Philopone"", ""Jean Philoppon"", ""Philopon""]","[""Johannes Philoponus"", ""Iohannes Grammaticus"", ""Johannes Grammaticus"", ""Philoponus""]","[""Ancient Greek""]"
